block,head,cos980,cos437,ratio980,ratio437,ls980,ls437,d_ratio,d_ls
2,12,0.960936,0.961717,2.272915,2.009323,1.030866,1.030208,0.263593,0.000659
2,13,0.942686,0.949001,0.741091,0.975829,0.969108,0.983397,-0.234739,-0.014289
2,14,0.943303,0.929067,1.167832,1.203989,0.99141,0.971141,-0.036157,0.020269
2,15,0.944845,0.945677,5.003929,4.25004,1.039175,1.039311,0.753888,-0.000137
3,0,0.938069,0.938222,1.004736,1.012804,0.976835,0.976939,-0.008068,-0.000104
3,1,0.960016,0.962426,0.871439,0.880369,0.942229,0.940056,-0.00893,0.002173
3,2,0.935032,0.933524,0.648669,0.672168,0.95493,0.958505,-0.023499,-0.003576
3,3,0.957863,0.957014,0.643214,0.637383,0.964674,0.95506,0.00583,0.009614
3,4,0.927167,0.928532,0.760831,0.772501,0.900433,0.901313,-0.01167,-0.00088
3,5,0.985534,0.973166,1.186627,1.271853,1.120104,1.126573,-0.085225,-0.006469
3,6,0.968933,0.970329,0.936284,0.941102,0.983036,0.981023,-0.004817,0.002013
3,7,0.956185,0.954744,1.469155,1.564917,0.986986,0.986918,-0.095762,6.9e-05
3,8,0.99377,0.992208,1.051393,1.056056,1.039966,1.042234,-0.004662,-0.002268
3,9,0.985953,0.984471,1.103799,1.065326,1.064071,1.023876,0.038472,0.040195
3,10,0.884495,0.880034,0.494122,0.476273,0.780401,0.771823,0.017849,0.008579
3,11,0.830628,0.817854,4.882988,5.015083,1.040548,1.034157,-0.132095,0.006391
3,12,0.983919,0.978477,0.935431,0.95134,0.971063,0.969931,-0.015908,0.001131
3,13,0.988129,0.98949,1.096071,1.100646,1.079578,1.086715,-0.004575,-0.007137
3,14,0.940345,0.942153,0.856155,0.899259,0.976451,0.980209,-0.043104,-0.003757
3,15,0.977402,0.978219,0.890678,0.892959,0.983101,0.980319,-0.002281,0.002783
4,0,0.963409,0.963819,0.890484,0.862496,0.932234,0.921345,0.027988,0.010889
4,1,0.974871,0.974429,1.078964,1.124293,1.077524,1.084949,-0.04533,-0.007425
4,2,0.960489,0.957017,1.242592,1.224407,1.015875,1.007451,0.018185,0.008425
4,3,0.968264,0.969269,1.069404,1.082863,1.031636,1.038059,-0.013459,-0.006424
