block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
15,2,22,22,1.0,0.969255,0.828651,0.012411,0.814606,0.863912,0.049306,0.775586,0.016764
15,3,22,22,1.0,0.968733,0.8985,0.006052,0.888974,0.913249,0.024275,0.87364,0.009408
15,4,22,22,1.0,0.996932,1.025205,0.010718,1.008933,1.047596,0.038663,1.028476,0.010501
15,5,22,22,1.0,0.968263,0.92598,0.008559,0.899887,0.944914,0.045027,0.96502,0.015508
15,7,22,22,1.0,0.941853,0.82447,0.008262,0.811752,0.846555,0.034803,0.725675,0.017266
15,8,22,22,1.0,0.949952,0.902149,0.011869,0.869587,0.922355,0.052768,0.923162,0.018269
15,9,22,22,1.0,0.970037,0.899382,0.009976,0.888016,0.934613,0.046597,0.854294,0.017104
15,10,22,22,1.0,0.947181,0.965297,0.012711,0.94029,0.98397,0.043681,0.992414,0.032086
15,11,22,22,1.0,0.95962,0.817949,0.013928,0.778441,0.834923,0.056482,0.767247,0.026185
15,12,22,22,1.0,0.982333,1.063782,0.008486,1.047807,1.076458,0.028651,1.021482,0.016695
15,13,10,22,0.454545,0.924355,0.778013,0.034341,0.733837,0.844691,0.110853,0.673195,0.06935
15,14,20,22,0.909091,0.942237,0.804861,0.054144,0.730496,0.914755,0.184259,0.773385,0.079155
