block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
8,14,0.982112,4.477922,4.917809,1.098235,4.477922,4.927682,1.100439,1.542797,2.185339,1.416479,1.115784,1.151862,1.013011
9,0,0.985993,3.319266,3.284783,0.989611,3.319266,3.284783,0.989611,1.700009,1.596351,0.939025,0.965629,0.622242,0.608907
9,2,0.983822,2.739783,2.114327,0.771713,2.739783,2.114327,0.771713,1.166043,1.160676,0.995397,0.796809,0.743216,0.431903
9,3,0.995437,5.492708,5.713860,1.040263,5.492708,5.713860,1.040263,1.736089,1.915720,1.103468,1.041367,0.622332,0.574919
9,4,0.994691,5.600015,6.311625,1.127073,5.600015,6.311625,1.127073,1.162976,1.280925,1.101420,1.120050,0.954224,0.662695
9,5,0.992666,5.437792,6.243752,1.148215,5.437792,6.243752,1.148215,1.851262,2.177782,1.176377,1.142718,1.144824,0.799250
9,6,0.994795,7.882536,8.864706,1.124601,7.882536,8.864706,1.124601,2.447737,2.335854,0.954291,1.104939,1.273705,0.934004
9,7,0.998838,6.243583,5.833099,0.934255,6.243583,5.833099,0.934255,0.914727,1.019192,1.114203,0.937285,0.487857,0.285315
9,9,0.994981,6.377893,6.371100,0.998935,6.377893,6.371100,0.998935,2.066709,2.174888,1.052344,0.999074,0.673566,0.673538
9,10,0.995944,7.677872,6.824731,0.888883,7.677872,6.824731,0.888883,1.278436,0.995974,0.779056,0.882515,1.105091,0.620558
9,11,0.990819,4.864500,3.564268,0.732710,4.864500,3.564268,0.732710,1.115695,1.183303,1.060597,0.745514,1.367665,0.507641
9,13,0.988781,3.070536,2.546673,0.829390,3.070536,2.546673,0.829390,1.107832,1.113304,1.004940,0.841829,0.662356,0.415038
9,14,0.995711,5.277446,5.520196,1.045998,5.277446,5.520196,1.045998,1.379226,1.493697,1.082997,1.043896,0.580691,0.529041
9,15,0.998888,9.627922,9.209128,0.956502,9.627922,9.209128,0.956502,2.290368,2.231472,0.974285,0.956395,0.621039,0.446654
10,0,0.939155,4.025408,2.414766,0.599881,4.025408,2.437308,0.605481,1.752975,1.854897,1.058142,0.651058,1.854197,1.045158
