block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
3,5,22,22,1.0,0.988715,0.782637,0.011631,0.767329,0.803702,0.036374,0.76501,0.016063
3,6,22,22,1.0,0.947386,0.98129,0.005558,0.967964,0.990731,0.022767,0.795813,0.081235
3,7,22,22,1.0,0.93289,0.870982,0.005055,0.858975,0.879106,0.020131,0.4102,0.063225
3,8,22,22,1.0,0.993506,0.96742,0.010032,0.943207,0.987856,0.044649,0.963922,0.010732
3,9,22,22,1.0,0.98504,0.725114,0.02609,0.661025,0.776279,0.115254,0.695848,0.031397
3,10,22,22,1.0,0.952993,1.117639,0.00582,1.107296,1.128871,0.021575,1.090339,0.035729
3,12,22,22,1.0,0.974479,0.741145,0.025553,0.701802,0.790198,0.088396,0.69328,0.031623
3,13,22,22,1.0,0.983935,0.731552,0.01437,0.702618,0.760818,0.0582,0.707327,0.015512
3,15,22,22,1.0,0.953516,0.980091,0.005688,0.971728,0.993026,0.021299,0.790186,0.048609
4,0,22,22,1.0,0.963574,0.928408,0.003579,0.921518,0.93535,0.013832,0.867935,0.020315
4,1,8,22,0.363636,0.907929,0.791612,0.010667,0.77076,0.802408,0.031647,0.450669,0.033669
4,2,22,22,1.0,0.960333,0.968682,0.003312,0.961045,0.975298,0.014252,0.656292,0.06595
4,3,22,22,1.0,0.958556,0.994478,0.008726,0.973492,1.006231,0.032739,1.047391,0.032501
4,4,22,22,1.0,0.983904,0.745372,0.016199,0.716164,0.770368,0.054204,0.705101,0.020679
4,5,22,22,1.0,0.943276,0.849714,0.005119,0.84139,0.858041,0.016652,0.562817,0.062711
4,6,6,22,0.272727,0.904746,0.794395,0.009042,0.784009,0.806535,0.022527,0.250592,0.044256
4,7,22,22,1.0,0.969511,0.961401,0.003452,0.954741,0.968487,0.013746,0.697404,0.029915
4,8,13,22,0.590909,0.922173,0.450859,0.020862,0.415074,0.485245,0.070171,0.414957,0.026058
4,9,22,22,1.0,0.954155,0.982325,0.003253,0.973746,0.989032,0.015286,0.530759,0.122662
4,10,22,22,1.0,0.988975,0.749768,0.013136,0.719872,0.774473,0.054602,0.724832,0.021246
4,11,22,22,1.0,0.928332,1.048953,0.018107,1.002697,1.075531,0.072834,1.605655,0.157116
4,12,22,22,1.0,0.931598,0.928866,0.004066,0.922778,0.936249,0.013471,0.70866,0.032785
