class_id,seed,block,head,mean8,mean9,ratio,cosine
323,0,14,11,2.769103,3.857810,1.393162,0.903857
323,0,14,12,2.502140,2.973417,1.188350,0.903990
323,0,14,13,1.663513,2.142993,1.288233,0.781425
323,0,14,14,4.540693,5.012211,1.103843,0.964318
323,0,14,15,1.489007,3.018335,2.027080,0.802174
323,0,15,0,4.318045,4.885824,1.131490,0.988573
323,0,15,1,2.789809,2.688292,0.963612,0.966905
323,0,15,2,4.822027,3.908671,0.810587,0.988988
323,0,15,3,3.408252,3.420793,1.003680,0.985204
323,0,15,4,-3.235911,-3.221794,0.995637,0.998291
323,0,15,5,3.534400,3.846981,1.088439,0.988949
323,0,15,6,0.300454,1.277255,4.251087,0.619276
323,0,15,7,3.149353,2.678098,0.850364,0.968176
323,0,15,8,3.568556,4.000767,1.121116,0.972857
323,0,15,9,4.003845,3.959105,0.988826,0.989859
323,0,15,10,-1.955304,-1.690055,0.864344,0.986154
323,0,15,11,4.243374,3.788345,0.892767,0.986412
323,0,15,12,6.564358,7.306283,1.113023,0.998400
323,0,15,13,2.423887,1.252945,0.516916,0.867007
323,0,15,14,3.044489,2.233465,0.733609,0.942459
323,0,15,15,1.528079,-0.459574,-0.300752,-0.329247
500,0,0,0,-0.157576,0.728460,-4.622920,0.302009
500,0,0,1,-0.598992,-0.394711,0.658960,0.966189
500,0,0,2,0.600272,0.475426,0.792017,0.969281
500,0,0,3,-1.342051,-1.481808,1.104137,0.986542
500,0,0,4,-0.589170,-0.625267,1.061267,0.959469
500,0,0,5,1.387697,0.396512,0.285734,0.833232
500,0,0,6,1.444376,0.909365,0.629590,0.925714
500,0,0,7,-1.540136,-1.725404,1.120294,0.994587
500,0,0,8,1.822426,1.434211,0.786979,0.988304
500,0,0,9,-0.613019,-0.997151,1.626624,0.951167
500,0,0,10,-0.369537,-0.421589,1.140860,0.959186
500,0,0,11,0.018232,1.076149,59.025496,0.369606
500,0,0,12,1.065814,0.588852,0.552491,0.814489
500,0,0,13,-1.635772,-1.723889,1.053869,0.981850
500,0,0,14,0.666382,0.391194,0.587042,0.918548
500,0,0,15,-0.363514,-0.445814,1.226402,0.997034
500,0,1,0,0.594787,0.654680,1.100697,0.989830
500,0,1,1,4.340899,4.000698,0.921629,0.998951
500,0,1,2,1.056539,1.215295,1.150261,0.975042
500,0,1,3,0.314580,1.479540,4.703224,0.789666
500,0,1,4,-0.449335,-0.311434,0.693100,0.963680
500,0,1,5,1.081420,2.265872,2.095276,0.944639
500,0,1,6,2.614123,2.544535,0.973380,0.997358
500,0,1,7,0.810324,1.035092,1.277379,0.978580
500,0,1,8,0.439257,1.209524,2.753568,0.897622
500,0,1,9,-0.506195,-0.273085,0.539486,0.762187
500,0,1,10,1.045119,0.799642,0.765121,0.973057
500,0,1,11,1.646692,1.117448,0.678602,0.985407
500,0,1,12,-0.614376,-0.967088,1.574096,0.972660
500,0,1,13,1.219073,1.112237,0.912363,0.969722
500,0,1,14,-0.572006,0.149916,-0.262089,0.471013
500,0,1,15,3.006179,3.947073,1.312987,0.978181
500,0,2,0,2.369484,2.046552,0.863712,0.993002
